NO_MUNICIPIO,CO_MUNICIPIO,SG_UF,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
Porto Velho,1100205,RO,0.254244645029775,0.262119357903565,0.267409647100087,0.287328468023953,0.301063148629925,0.349821664414246,0.36218533313355,0.373106651283654,0.390580442120751,0.419732324861957,0.460573885902919,0.450447708402739,0.488060317671353,0.563349829561243,0.643424697404204,0.726295119088613
Presidente Médici,1100254,RO,0.242028162539631,0.255170838488627,0.300074300015642,0.29440551175098,0.341062555016043,0.306815684020087,0.266236861143027,0.246181694980882,0.229598308668076,0.326133153328833,0.345885955979097,0.482611427145279,0.333158069183637,0.489350390231809,0.82,0.811760125416503
Alvorada D'Oeste,1100346,RO,0.274512384367786,0.327757836803063,0.316710969342548,0.245192949088533,0.187674905542618,0.291970237285856,0.347156177156177,0.43880546177658,0.604037693087613,0.63131168051885,0.615894039735099,0.614285714285714,0.185980952380952,0.693911177953731,0.795321637426901,0.885350318471338
Nova Mamoré,1100338,RO,0.201788253076069,0.209435006108665,0.192741446366694,0.211034318127565,0.229409215657952,0.317855051876878,0.356199889554606,0.325136502328569,0.266898326898327,0.332787913956438,0.291742016811673,0.401409910843873,0.42303830056814,0.513778409090909,0.574300071787509,0.764692820133235
Campo Novo de Rondônia,1100700,RO,0.102631578947368,0.188211197086937,0.19102512360004,0.248406289842754,0.257425312465092,0.194900135737832,0.143286631640397,0.212802861943737,0.246377450548159,0.23062119584676,0.249682019011916,0.288313560894828,0.319508448540707,0.525774526678141,0.535115303983228,0.53527706185567
Buritis,1100452,RO,0.20004689459827,0.244966748562535,0.272881787976372,0.253240063804333,0.304467024861981,0.343729195292718,0.344776876267748,0.430677883056356,0.465368789626215,0.43176440810746,0.418332975177129,0.424556478256394,0.475289008226485,0.577281263501923,0.709091274385711,0.683068285009548
Candeias do Jamari,1100809,RO,0.175337623769935,0.275134254410029,0.262815148205981,0.177994333130945,0.157294344473008,0.2371570179406,0.263752879862214,0.279642909605652,0.326050702415374,0.35709534368071,0.317335177501153,0.307641309289286,0.306208253382235,0.407467532467532,0.363399931265732,0.5975634690748
Itapuã do Oeste,1101104,RO,0.089248179056327,0.0909925738515239,0.157854251012146,0.225549838436099,0.200416883793643,0.212313655336911,0.312144440816046,0.308152533299745,0.320260273685534,0.164382570589938,0.202810304449649,0.320548780941469,0.352081811541271,0.443660968660969,0.632437946276777,0.790107386918321
Costa Marques,1100080,RO,0.383290006082254,0.454827355011733,0.347492757966237,0.39973088037412,0.393543913163692,0.396061643835616,0.498442015328559,0.432643690612845,0.497797412753424,0.522897055191152,0.408702904238619,0.683566357999036,0.620997385202882,0.667426980843949,0.538029620224181,0.567567567567568
São Francisco do Guaporé,1101492,RO,0.157402301155591,0.219373239420102,0.200703933747412,0.224492972780644,0.237569661546826,0.315649959889784,0.304163922146021,0.380153333770597,0.421778216878276,0.44281601461509,0.523550840077317,0.438158627948734,0.387611673615247,0.620911748583958,0.673469387755102,0.64588241593489
Guajará-Mirim,1100106,RO,0.24868230905313,0.253742078552537,0.262704090535185,0.290494353906888,0.331678560544092,0.338749127580637,0.327327473205336,0.369308392375419,0.369915152677245,0.434984462858834,0.338622468051675,0.397900323408804,0.36334841320205,0.495099148168955,0.670971245075317,0.707170585772007
Ariquemes,1100023,RO,0.175408165420521,0.179799212510479,0.193115124847129,0.19994942082838,0.227479744744167,0.32918361705933,0.298393057452067,0.306792280376428,0.359529081041455,0.365732583324655,0.357203619123854,0.337646831986144,0.398707537742385,0.437519414441941,0.545016376517803,0.557718531849697
Alto Paraíso,1100403,RO,0.179469883950882,0.198216334394008,0.1677447657715,0.211658442753199,0.189823008849557,0.173594521420608,0.198929049531459,0.138257277734068,0.144755469342137,0.233787039566826,0.234725201330645,0.299058706960614,0.334165250637213,0.312089616544593,0.436543854388966,0.388961928746019
Machadinho D'Oeste,1100130,RO,0.207721201084162,0.235497127197909,0.261036454736991,0.311869432308681,0.332103534300492,0.392685507718883,0.405944342777813,0.434441945792401,0.471915609321201,0.503512706740942,0.519361907968935,0.530406805540408,0.629972313736408,0.6706906729634,0.701798923937124,0.66815358554489
Vale do Anari,1101757,RO,0.168288934426229,0.0980763166193629,0.135698198198198,0.22406569465393,0.230710085933967,0.172358344875898,0.341636413069554,0.383169812573667,0.327802544307926,0.298052077121845,0.315645524066577,0.356915133994069,0.36499621785174,0.340932016550391,0.340201224189012,0.313856133557941
Cujubim,1100940,RO,0.0992466240227434,0.101592212431735,0.116412319261287,0.122960046452875,0.118909497146549,0.155118331488735,0.223348998268612,0.183318721000524,0.23890614963097,0.253477705090608,0.193485014619883,0.308744719023092,0.279749612210994,0.40163762334663,0.539750620385405,0.321740078499782
Rio Crespo,1100262,RO,0.168354430379747,0.143036386449184,0.196678529062871,0.189480297998384,0.158196611978125,0.115740740740741,0.153009221808769,0.138888888888889,0.489702517162471,0.494079655543595,0.499485066941298,0.328756830601093,0.202035318766836,0.3676293622142,0.453764448609809,0.219439901880621
Cacaulândia,1100601,RO,0.126037735849057,0.254287377423544,0.247227278242932,0.153016195225277,0.116059194299808,0.168439407149085,0.231601439496176,0.325038090401219,0.239770143975751,0.247612702642683,0.455324244657332,0.213296144179489,0.352025854330002,0.228431667258765,0.248275862068965,0.334883720930233
Monte Negro,1101401,RO,0.226729197520706,0.228448882485005,0.230814478988824,0.333996583004857,0.314639383604901,0.236906304638486,0.304016212232867,0.171162627025542,0.274318639107371,0.169998096325909,0.202821569228325,0.189105272051369,0.226703354297694,0.290743487806325,0.249564554757239,0.407894736842105
Jaru,1100114,RO,0.368713687615961,0.377058693319642,0.34063378069577,0.337879999817054,0.346583415243927,0.328050906876764,0.364115341584751,0.375053578402268,0.364424577474577,0.406360242049697,0.442332906040854,0.446675515844515,0.429128467890702,0.485736126102674,0.565819125378921,0.635789150594043
Ji-Paraná,1100122,RO,0.230371892433682,0.220930690230058,0.268541524526026,0.280425596100863,0.304652116294656,0.305292053463169,0.329583424441384,0.31474126644453,0.284523421600238,0.347004426273006,0.457831369351648,0.498016783175737,0.526006378530422,0.539684573868497,0.638367824605749,0.642151621690137
Ouro Preto do Oeste,1100155,RO,0.273321406097178,0.299635278514589,0.328562725590429,0.299918339392024,0.313981648750648,0.301655385123158,0.344397883307461,0.360882885392007,0.331496847489888,0.37356495428255,0.437720284964379,0.455144388421865,0.45374400050272,0.505270259355862,0.650832336523126,0.648384931228826
Nova União,1101435,RO,0.1389395260363,0.253951105074701,0.277843256790625,0.225117004680187,0.193341990639288,0.066263506348342,0.125725338491296,0.0954006691997958,0.214202898550725,0.303215579710145,0.32201158504476,0.271845767738992,0.327340554631669,0.448744994279176,0.585975998231722,0.491617375579249
Teixeirópolis,1101559,RO,0.262528216704289,0.196174863387978,0.226925161057258,0.300713557594292,0.304671382257589,0.17909450015193,0.1930823117338,0.151594155667807,0.320408865300506,0.310148335745297,0.269230769230769,0.205409356725146,0.436816253628042,0.414829396325459,0.486754966887417,0.631446540880503
Governador Jorge Teixeira,1101005,RO,0.148585445937691,0.251452390256611,0.166208607396885,0.206958193957287,0.164751115124648,0.187703492966651,0.188460164344409,0.19395896656535,0.153625705601389,0.311146962818444,0.273781953726372,0.444242834296962,0.377261306532663,0.39836570290979,0.579316131739039,0.749467275494673
Mirante da Serra,1101302,RO,0.223494021588008,0.277854346987155,0.225815168754233,0.301442165400587,0.294196295929484,0.415321002398611,0.412998274252412,0.448971704448978,0.402707848372391,0.446233270118341,0.370332147998437,0.415112911005609,0.545154199873242,0.556414008945655,0.534918620578519,0.605879886804318
