"","V1","V2","V3","V4"
"Abaeté@MG",535.442652114055,111.584990031262,435.059857396081,168.366802238395
"Abaetetuba@PA",471.370370898805,86.3696622813045,463.325300676749,69.1010653662452
"Abreu e Lima@PE",480.714805402184,95.6625918185447,448.830487076293,121.456405554466
"Açailândia@MA",483.095316691033,88.7610548571072,445.093948334799,36.0811763693603
"Acará@PA",456.326680327747,76.2759010375342,402.8,1.14359111800805e-14
"Acarape@CE",474.183276727557,85.881552569088,518.855178674988,104.778154462773
"Acaraú@CE",494.491912813566,102.049845229755,544.127570337069,179.77930633543
"Acopiara@CE",482.896734153151,97.1312182414752,399.993675201555,45.8344876486151
"Acrelândia@AC",481.484802950168,82.1535358182973,439.014883748056,36.8107176961887
"Acreúna@GO",495.55651072815,99.8251421508729,518.855178674988,104.778154462773
"Açu@RN",476.545883527306,99.1941002130101,462.385876675203,108.480325384464
"Açucena@MG",498.072110939462,100.877494902287,623.001669813943,154.143589067691
"Adamantina@SP",535.742693696271,107.374165328605,461.83884726965,142.247200480383
"Afogados da Ingazeira@PE",502.947338833199,103.72186174762,511.014756383325,155.291956087859
"Afonso Cláudio@ES",528.265075404915,105.882686394301,544.586372100077,105.034523871455
"Afrânio@PE",479.682536984412,95.7819304799245,285.806058053679,181.598014300536
"Agrestina@PE",474.255668398042,91.1089454101062,491.51881307603,69.5938372155713
"Água Boa@MT",502.921478721436,100.619911702346,664.4,1.74631500015376e-15
"Água Branca@AL",464.840602631841,82.8746602507618,484.668362684554,36.9003882377594
"Água Branca@PI",468.312236833509,87.1258293561591,446.935754920387,80.9740458391123
"Água Clara@MS",482.728795777384,89.6736792981236,397.642393782421,61.6607303679001
"Água Doce do Norte@ES",492.565269732725,102.033110820902,518.855178674988,104.778154462773
"Água Preta@PE",450.203826378358,94.6856302634563,518.855178674988,104.778154462773
"Águas Belas@PE",475.985562514743,93.8890937056901,417.444963397041,31.2403697535427
"Águas Formosas@MG",486.05927199637,99.5755089467895,476.868893387074,71.0960094622796
"Águas Lindas de Goiás@GO",477.189016439724,87.3373831115725,496.166800333916,73.1336913845518
"Agudos@SP",533.804040792213,104.226920223047,401.474477666239,34.6749680193962
"Aimorés@MG",523.136328590486,105.078553501469,491.095106830452,97.1187891769078
"Alagoa Grande@PB",476.412651380119,92.4875740948541,518.855178674988,104.778154462773
"Alagoa Nova@PB",478.104869883235,89.3451498523773,443.603568211561,83.5878353555312
"Alagoinha@PB",460.187501593256,87.702115538896,418.17285412181,26.271775990736
"Alagoinhas@BA",482.604031792203,104.051488259959,466.465922131518,87.049834587881
"Alcântara@MA",469.513677124984,79.8987958157798,501.624517980906,122.155741778816
"Alegre@ES",516.203015538602,112.139767250098,491.278156526799,162.803539903449
"Alegrete@RS",504.184749324903,102.235785284507,450.057211977564,139.758148832142
"Além Paraíba@MG",526.658900593189,121.945937785213,495.500640199889,67.7491913628664
"Alenquer@PA",453.567379436577,77.0158264798682,424.29639087072,43.3437154750343
"Alexandria@RN",480.721815015738,102.303125533234,488.225325630123,104.579070054365
"Alexânia@GO",490.086811933162,90.2677822826916,451.397199467633,114.177465629944
"Alfenas@MG",531.254757767734,112.317875494956,437.634270764154,197.080533547579
"Alhandra@PB",466.991546200218,87.8386187222161,472.60100453244,27.6986179497874
"Aliança@PE",472.644447119451,92.1894135073676,478.2,5.68234751918029e-14
"Almeirim@PA",448.085363361045,73.4889595381472,375.750904014313,10.051559656237
"Almenara@MG",490.884723673746,95.0625432293551,428.217597167505,147.340801451096
"Almirante Tamandaré@PR",508.357817190764,92.4201423520823,524.916205926612,104.202981087972
"Alpinópolis@MG",533.247661565297,113.590431241859,485.542664382809,122.558429007633
"Alta Floresta D'Oeste@RO",492.678782003268,91.8018444711869,478.5,8.88493537829645e-26
"Alta Floresta@MT",497.240393071277,99.9900740092237,431.019237712231,57.3489900545269
"Altamira@PA",471.161811883934,87.9764140784839,398.3937282766,106.299159433695
"Alto Alegre@RR",454.446009448671,79.6820623453637,490.604598189863,34.6009334309759
"Alto do Rodrigues@RN",468.435145583607,91.7618137744681,533.89421757731,72.5897902833835
"Alto Paraíso@RO",468.199105231162,93.7837726254899,413.2,5.68638877020596e-14
"Alto Santo@CE",469.366589658979,96.4214336129136,587.1,4.78452314751417e-15
"Altos@PI",471.967592822117,92.5020827545991,491.006931127288,56.5141877534133
"Alvarães@AM",439.042625097946,62.6871085983969,363.6,1.11569006702968e-24
"Alvinópolis@MG",515.165667374084,101.027887957828,541.850485392921,8.14902917959196
"Alvorada D'Oeste@RO",477.384634175071,90.3413256799375,467.562875887153,107.335239886163
