"","C","D"
"Abaetetuba@PA",-186.96267895161,63.3928978375209
"Abreu e Lima@PE",-35.0556896533742,33.5684956074868
"Acaraú@CE",796.661396700011,-308.814874955053
"Acopiara@CE",-385.451825226122,196.114588704191
"Açu@RN",-308.150068687413,96.2249592826339
"Afogados da Ingazeira@PE",2806.43626625431,-1024.50861413233
"Afonso Cláudio@ES",893.936904751186,-233.67723788825
"Água Branca@AL",837.476316905793,-268.181847741373
"Água Branca@PI",911.075781241166,-363.865724558393
"Águas Formosas@MG",171.484246566148,-97.8439055484533
"Águas Lindas de Goiás@GO",183.546594100418,-61.0726611557413
"Alagoinha@PB",-530.331558581683,183.187383852458
"Alagoinhas@BA",50.8566786843946,-16.5779048573739
"Alegre@ES",648.863946707224,-190.604112402577
"Alegrete@RS",-162.84219137168,97.3333395939188
"Alexandria@RN",-668.70151530179,181.546521101446
"Alfenas@MG",325.543942998153,-120.206979802584
"Almenara@MG",-215.270042327617,125.587828452685
"Alpinópolis@MG",285.541346918265,-112.619182340446
"Alta Floresta@MT",171.077428638927,-29.4144832849468
"Altamira@PA",-250.51824908516,124.370628850929
"Alto do Rodrigues@RN",-470.710119639608,125.620045312141
"Alvinópolis@MG",-1581.9808468883,1023.98859681936
"Alvorada do Sul@PR",2381.33981330284,-1308.65242686983
"Alvorada@RS",-476.909395442519,162.572861501812
"Amambai@MS",698.255029490359,-238.649192988397
"Amarante do Maranhão@MA",207.848497708336,-87.8776726802911
"Amargosa@BA",523.049675272025,-268.498426897421
"Americana@SP",1714.20045532318,-586.441342838338
"Amparo@SP",-193.414558474706,189.415864797898
"Ampére@PR",-1621.68055382508,907.67750457555
"Ananindeua@PA",-178.999667697878,97.176060345299
"Anápolis@GO",-857.597975348548,334.307645730238
"Anchieta@ES",-179.911072570548,100.41687389795
"Angicos@RN",143.351357428685,-104.120491942575
"Angra dos Reis@RJ",-1078.36224776259,367.677981227886
"Aparecida de Goiânia@GO",-682.580118753178,320.171738180831
"Apodi@RN",1094.77715406535,-275.479125427581
"Apucarana@PR",-257.926300275496,130.910967811014
"Aquidauana@MS",322.611231744188,-142.79866029051
