"","Row.names","x","y"
"1","Abaeté@MG",31277.6174790027,312291.504549678
"2","Abaetetuba@PA",117027.945436825,1905757.99608799
"3","Abreu e Lima@PE",63541.780309149,2560.33807123432
"4","Acará@PA",66943.5060234716,44712950.5430993
"5","Acarape@CE",91374.2030151006,283372896442.523
"6","Acaraú@CE",67797.3641139583,65.7644282550741
"7","Acopiara@CE",146501.567705097,7370.283579535
"8","Acreúna@GO",144511.569222012,3719379.94449407
"9","Açu@RN",182425.552100136,528395.138871643
"10","Afogados da Ingazeira@PE",61596.1929092969,16746137.2482362
"11","Afonso Cláudio@ES",26900.5167173637,375504.051620963
"12","Água Branca@AL",100761.467656187,4955.06402165393
"13","Água Branca@PI",92120.8789783568,31499.113044823
"14","Água Preta@PE",180572.404703159,10330.8206827124
"15","Águas Formosas@MG",71081.0278574411,6215789.07430586
"16","Águas Lindas de Goiás@GO",99199.4843180028,4582.8015630667
"17","Alagoa Grande@PB",129581.372545364,4850.10076956362
"18","Alagoa Nova@PB",73984.5574492887,511022988134.792
"19","Alagoinha@PB",161883.931867582,20849438.0142902
"20","Alagoinhas@BA",171361.732330908,1508499.56189577
"21","Alcântara@MA",550331.073638943,22754.0463294368
"22","Alegre@ES",54044.8681190603,49543.7498496954
"23","Alegrete@RS",82075.3850756763,4251338.9881408
"24","Alexandria@RN",122665.902953153,302756.888394279
"25","Alfenas@MG",44073.3813298404,668619.76765381
"26","Almenara@MG",90070.8772703757,11997.057724103
"27","Almirante Tamandaré@PR",51302.0266599027,16077674352.479
"28","Alpinópolis@MG",35959.853923718,283028381.448555
"29","Alta Floresta@MT",81308.8611644454,11174.9271205798
"30","Altamira@PA",147999.277089965,60198.2207486094
"31","Alto do Rodrigues@RN",139087.755744475,3356.54882852951
"32","Alvinópolis@MG",67220.861207992,117734.26609418
"33","Alvorada do Sul@PR",66448.3649434481,2402168774.56117
"34","Alvorada@RS",42173.1412874551,763279.653884609
"35","Amambai@MS",164989.386081237,1453.50977529522
"36","Amapá@AP",26147.7177059345,70.9660608469259
"37","Amarante do Maranhão@MA",83776.2007569826,16270.2620009309
"38","Amargosa@BA",609919.370732785,3512.28419451511
"39","Americana@SP",21565.8834321509,95190.1316279763
"40","Amontada@CE",135105.457717436,8311831235951316
"41","Amparo@SP",27073.0243419723,141965.125770482
"42","Ampére@PR",26073.8074337829,10737.6595487524
"43","Anagé@BA",68892.9555072005,6182395344.30321
"44","Ananindeua@PA",146331.650775048,379298.711246886
"45","Anápolis@GO",67860.8795420222,806831.348306083
"46","Anchieta@ES",33646.7823449482,41583.8220206238
"47","Angicos@RN",100783.779936649,18986.4835972495
"48","Angra dos Reis@RJ",71970.6152711795,37273.328141092
"49","Aparecida de Goiânia@GO",83907.8841050993,9791904.86921342
"50","Aparecida@SP",36042.6729438843,1469.54685052653
"51","Apodi@RN",105256.504022233,52348.1608278654
"52","Apucarana@PR",49159.9570726366,105370.891951466
"53","Apuí@AM",49755.6221401781,445803.261879579
"54","Aquidauana@MS",415218.46661649,6741.97581689612
"55","Aracaju@SE",154043.626798658,1281837.24778531
"56","Araçatuba@SP",33220.4350550792,6487002.11301324
"57","Araci@BA",117534.30743203,964.966622954367
"58","Aracruz@ES",64900.5348109375,47111.8937477413
"59","Araçuaí@MG",76077.3939647268,1258905.31248378
"60","Aragarças@GO",66871.9787601207,25166.8631025433
"61","Araguaína@TO",133936.229908585,3915975.71077979
"62","Araguari@MG",51567.3563402006,54511.3744890852
"63","Araguatins@TO",82875.0719669011,52631105.2239807
"64","Arame@MA",171412.443208683,2687.92462146308
"65","Arapiraca@AL",168510.444164091,30785385.7490238
"66","Arapongas@PR",50044.3162490286,41823.0636468736
"67","Arapoti@PR",60002.2154033924,498.243755852783
"68","Araraquara@SP",28007.1467917053,69117.1514928343
"69","Araras@SP",19874.8046334844,88362.2961062936
"70","Arari@MA",34300.3176864154,314971.299543074
"71","Araripe@CE",49805.2785219792,839779.062078609
"72","Araripina@PE",68564.2908146209,1200702.0795581
"73","Araruama@RJ",69517.6777572376,205838.796522415
"74","Araruna@PB",104309.169952765,2782.83269396075
"75","Aratuba@CE",161000.717338015,2893.65286882773
"76","Araxá@MG",32755.3784041445,28805.3618616561
"77","Arcos@MG",27595.0836992358,614630.779696715
"78","Arcoverde@PE",78372.5406519601,546028.462640332
"79","Areado@MG",35499.3166758243,46491.7412801749
"80","Areia Branca@RN",115972.405870955,1057268.90708886
"81","Arenápolis@MT",71577.9467577342,580.682405121005
"82","Ariquemes@RO",61988.1260537006,819852.644204829
"83","Arraias@TO",198412.714467607,5806.39814845027
"84","Arroio do Meio@RS",18355.5887214256,12046.6958306922
"85","Artur Nogueira@SP",42671.9956719473,470166.132201116
"86","Arujá@SP",62326.6215682977,265832.595075265
"87","Assaí@PR",72189.579443853,19042633659.0425
"88","Assaré@CE",119372.304217108,4199.60474586403
"89","Assis Chateaubriand@PR",48532.2757859817,4820.01532906082
"90","Assis@SP",30654.6407221605,154362.576583791
"91","Astorga@PR",85508.7801544872,10518993.6892674
"92","Atibaia@SP",43192.5417499434,39392.2106786145
"93","Augusto Corrêa@PA",74828.7298885632,2142338473.91963
"94","Auriflama@SP",35662.8105753994,564294218643.732
"95","Aurora@CE",126743.548563534,20289.624503956
"96","Avaré@SP",27865.2153378909,6899.15413570853
